group n.variants miss.min miss.mean miss.max freq.min freq.mean freq.max freq.strata.min freq.strata.max MV.pval MF.pval IV.pval IF.pval JV.pval JF.pval JD.pval
Set1 4 0 0.004375 0.0175 0.95 0.9711386768447837 0.99125 NA NA 0.07741425303225158 0.11534729617215997 0.013129363792098836 0.018952894971569142 0.008020907961877786 0.013763833798846112 0.015577752502584917
Set2 7 0 0 0 0.95 0.9730357142857142 0.99125 NA NA 0.8856296086128781 0.8231001155809603 0.2829074925762346 0.4728222745539234 0.5973371804025333 0.7518611111119592 0.7564544138461291
Set3 5 0 0 0 0.95375 0.974 0.98875 NA NA 0.5092059524989554 0.5530877307010271 0.1015478663343371 0.15100006718723294 0.20487678292436157 0.2825690773521698 0.29086330336378585
Set4 2 0 0 0 0.96625 0.9750000000000001 0.98375 NA NA 0.5543310635926985 0.2519441508305265 0.21421439706316514 0.3657603791975932 0.37176558795586157 0.2887068687040035 0.3118695422966052
Set5 2 0 0 0 0.96625 0.9750000000000001 0.98375 NA NA 0.11245788587558125 0.34000790718316726 0.8400197083616026 0.3467114277284024 0.3173619552611696 0.34343315485293074 0.36992772042803035
Set6 2 0 0 0 0.96625 0.98125 0.99625 NA NA 0.817699942685233 0.6642071640748003 0.941672446153887 0.821284590657642 0.9712523072417361 0.86414195648868 0.8761035085311221
Set7 3 0 0 0 0.96625 0.98375 0.99625 NA NA 0.8275945423804952 0.7802383130175302 0.9187529004306698 0.9009864442664306 0.9686693137354992 0.9454336041050637 0.950730478136407
Set8 4 0 0 0 0.95 0.9765625 0.99375 NA NA 0.03350685576233625 0.06483834969779823 0.486155044317817 0.5606044177954709 0.08335730316221797 0.15857885556388698 0.156829871051334
Set9 4 0 0 0 0.95 0.9721875 0.99375 NA NA 0.21520171280878841 0.3337902891167794 0.06022427265877017 0.0749586243148301 0.06928429646373134 0.1093870594531037 0.11729745570882237
Set1 4 0 0.004375 0.0175 0.95 0.9711386768447837 0.99125 NA NA 0.07741425303225158 0.11534729617215997 0.013129363792098836 0.018952894971569142 0.008020907961877786 0.013763833798846112 0.015577752502584917
Set2 7 0 0 0 0.95 0.9730357142857142 0.99125 NA NA 0.8856296086128781 0.8231001155809603 0.2829074925762346 0.4728222745539234 0.5973371804025333 0.7518611111119592 0.7564544138461291
Set3 5 0 0 0 0.95375 0.974 0.98875 NA NA 0.5092059524989554 0.5530877307010271 0.1015478663343371 0.15100006718723294 0.20487678292436157 0.2825690773521698 0.29086330336378585
Set4 2 0 0 0 0.96625 0.9750000000000001 0.98375 NA NA 0.5543310635926985 0.2519441508305265 0.21421439706316514 0.3657603791975932 0.37176558795586157 0.2887068687040035 0.3118695422966052
Set5 2 0 0 0 0.96625 0.9750000000000001 0.98375 NA NA 0.11245788587558125 0.34000790718316726 0.8400197083616026 0.3467114277284024 0.3173619552611696 0.34343315485293074 0.36992772042803035
Set6 2 0 0 0 0.96625 0.98125 0.99625 NA NA 0.817699942685233 0.6642071640748003 0.941672446153887 0.821284590657642 0.9712523072417361 0.86414195648868 0.8761035085311221
Set7 3 0 0 0 0.96625 0.98375 0.99625 NA NA 0.8275945423804952 0.7802383130175302 0.9187529004306698 0.9009864442664306 0.9686693137354992 0.9454336041050637 0.950730478136407
Set8 4 0 0 0 0.95 0.9765625 0.99375 NA NA 0.03350685576233625 0.06483834969779823 0.486155044317817 0.5606044177954709 0.08335730316221797 0.15857885556388698 0.156829871051334
Set9 4 0 0 0 0.95 0.9721875 0.99375 NA NA 0.21520171280878841 0.3337902891167794 0.06022427265877017 0.0749586243148301 0.06928429646373134 0.1093870594531037 0.11729745570882237
